ranking_id,assessor_id,task_id,choice_set,observed_ranking
1,1,1,"0,2,4","4,0,2"
2,1,2,"0,2,8","8,0,2"
3,1,3,"4,6,8","8,4,6"
4,1,4,"0,4,6","6,0,4"
5,1,5,"2,6,8","8,2,6"
6,2,1,"1,3,5","5,1,3"
7,2,2,"3,7,9","7,3,9"
8,2,3,"1,5,9","9,5,1"
9,2,4,"1,3,7","1,7,3"
10,2,5,"5,7,9","9,7,5"
11,3,1,"0,1,2","2,0,1"
12,3,2,"1,2,3","3,1,2"
13,3,3,"2,3,4","4,2,3"
14,3,4,"0,2,4","4,0,2"
15,3,5,"0,1,3,4","4,3,0,1"
16,4,1,"2,3,4","4,2,3"
17,4,2,"2,5,8","8,2,5"
18,4,3,"3,8,9","9,3,8"
19,4,4,"4,5,9","9,4,5"
20,4,5,"2,3,8,9","9,8,2,3"
21,5,1,"0,1,5","5,0,1"
22,5,2,"0,5,6","6,5,0"
23,5,3,"1,6,7","7,1,6"
24,5,4,"0,1,7","7,0,1"
25,5,5,"5,6,7","7,6,5" 